nm	Absorbancia
616.71	-0.004
617.04	-0.004
617.38	-0.002
617.72	-0.007
618.05	-0.009
618.39	-0.004
618.73	-0.001
619.07	-0.005
619.40	0.008
619.74	-0.000
620.07	-0.002
620.41	-0.007
620.75	0.006
621.08	-0.000
621.42	0.004
621.76	0.001
622.09	0.004
622.43	-0.004
622.77	0.000
623.10	-0.001
623.44	-0.007
623.77	-0.004
624.11	-0.007
624.45	-0.005
624.78	-0.000
625.12	-0.008
625.45	0.001
625.79	-0.005
626.12	-0.001
626.46	-0.001
626.80	-0.000
627.13	-0.006
627.47	0.003
627.80	-0.012
628.14	0.001
628.47	-0.009
628.81	-0.006
629.14	-0.002
629.48	-0.006
629.81	-0.009
630.15	-0.004
630.48	-0.014
630.82	-0.001
631.15	0.001
631.49	0.005
631.82	-0.012
632.16	-0.002
632.49	-0.006
632.83	-0.006
633.16	0.002
633.50	-0.001
633.83	-0.001
634.17	-0.002
634.50	-0.005
634.84	0.004
635.17	-0.000
635.51	-0.002
635.84	-0.004
636.17	0.002
636.51	0.007
636.84	-0.004
637.18	-0.001
637.51	-0.000
637.85	-0.002
638.18	-0.004
638.51	0.001
638.85	-0.007
639.18	-0.006
639.51	-0.003
639.85	-0.006
640.18	-0.004
640.52	-0.007
640.85	-0.001
641.18	0.003
641.52	0.001
641.85	-0.001
642.18	0.000
642.52	0.005
642.85	0.001
643.18	0.003
643.52	-0.003
643.85	-0.005
644.18	-0.001
644.52	-0.004
644.85	-0.003
645.18	0.005
645.52	-0.004
645.85	-0.002
646.18	-0.011
646.51	-0.009
646.85	-0.004
647.18	0.002
647.51	-0.003
647.84	0.002
648.18	0.003
648.51	-0.001
648.84	-0.000
649.17	-0.006
649.51	-0.004
649.84	-0.001
650.17	0.010
650.50	0.005
650.84	-0.009
651.17	0.011
651.50	0.000
651.83	0.002
652.16	0.000
652.50	0.001
652.83	0.002
653.16	-0.005
653.49	0.001
653.82	0.005
654.16	0.007
654.49	-0.012
654.82	0.003
655.15	-0.005
655.48	0.005
655.81	0.005
656.14	0.006
656.48	0.000
656.81	-0.007
657.14	-0.005
657.47	0.003
657.80	-0.006
658.13	0.001
658.46	0.006
658.79	-0.000
659.13	0.004
659.46	-0.001
659.79	-0.002
660.12	-0.003
660.45	-0.004
660.78	-0.005
661.11	-0.000
661.44	0.004
661.77	-0.002
662.10	-0.002
662.43	0.002
662.76	-0.000
663.09	-0.001
663.42	-0.008
663.75	-0.008
664.08	-0.014
664.41	-0.001
664.74	-0.002
665.07	-0.003
665.40	-0.010
665.73	-0.001
666.06	0.010
666.39	-0.005
666.72	-0.002
667.05	-0.011
667.38	-0.005
667.71	0.003
668.04	0.008
668.37	0.002
668.70	-0.002
669.03	0.005
669.36	-0.004
669.69	0.001
670.02	0.000
670.35	0.004
670.68	-0.002
671.01	0.005
671.34	-0.000
671.67	0.010
672.00	0.006
672.32	0.002
672.65	0.002
672.98	0.000
673.31	0.003
673.64	-0.002
673.97	-0.001
674.30	0.003
674.63	-0.001
674.96	0.005
675.28	-0.002
675.61	0.001
675.94	0.000
676.27	0.005
676.60	0.002
676.93	-0.001
677.25	-0.003
677.58	-0.008
677.91	-0.003
678.24	-0.003
678.57	0.001
678.89	-0.002
679.22	-0.006
679.55	0.005
679.88	-0.003
680.21	-0.003
680.53	-0.005
680.86	-0.002
681.19	-0.004
681.52	-0.008
681.85	-0.005
682.17	-0.015
682.50	-0.002
682.83	-0.008
683.15	-0.001
683.48	-0.013
683.81	-0.008
684.14	-0.000
684.46	-0.000
684.79	0.001
685.12	-0.003
685.45	-0.001
685.77	0.008
686.10	-0.002
686.43	-0.002
686.75	-0.004
687.08	-0.008
687.41	0.001
687.73	-0.012
688.06	0.005
688.39	-0.000
688.71	-0.000
689.04	-0.005
689.37	-0.005
689.69	-0.002
690.02	0.006
690.35	-0.006
690.67	-0.007
691.00	-0.006
691.32	-0.002
691.65	-0.007
691.98	-0.008
692.30	-0.007
692.63	-0.001
692.95	-0.001
693.28	-0.002
693.61	0.004
693.93	-0.004
694.26	0.003
694.58	-0.010
694.91	-0.003
695.23	-0.001
695.56	0.002
695.88	-0.005
696.21	0.000
696.54	0.012
696.86	-0.002
697.19	-0.000
697.51	0.002
697.84	-0.008
698.16	0.010
698.49	-0.009
698.81	-0.011
699.14	-0.003
699.46	0.008
699.79	-0.003
700.11	-0.000
700.44	-0.000
700.76	-0.001
701.08	0.001
701.41	-0.005
701.73	0.003
702.06	-0.008
702.38	-0.005
702.71	-0.010
703.03	-0.005
703.36	-0.010
703.68	-0.005
704.00	-0.004
704.33	0.002
704.65	-0.006
704.98	-0.000
705.30	-0.003
705.62	-0.002
705.95	-0.020
706.27	-0.007
706.60	0.000
